"Date","# of Unique Logins","# of New Opportunities","# of New Quote",
"01st December 2019 (Sunday)","6","0","0",
"02nd December 2019 (Monday)","61","41","32",
"03rd December 2019 (Tuesday)","59","19","21",
"04th December 2019 (Wednesday)","49","19","23",
"05th December 2019 (Thursday)","55","25","32",
"06th December 2019 (Friday)","53","34","36",
"07th December 2019 (Saturday)","50","19","25",
"08th December 2019 (Sunday)","2","0","0",
"09th December 2019 (Monday)","56","31","32",
"10th December 2019 (Tuesday)","46","24","26",
"11th December 2019 (Wednesday)","50","30","33",
"12th December 2019 (Thursday)","55","17","19",
"13th December 2019 (Friday)","45","26","23",
